Title,Description,Duration,Genre
68. Oldboy (2003),"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",120 min,"Action, Drama, Mystery"
69. Memento (2000),A man with short-term memory loss attempts to track down his wife's murderer.,113 min,"Mystery, Thriller"
70. Princess Mononoke (1997),"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",134 min,"Animation, Adventure, Fantasy"
71. Once Upon a Time in America (1984),"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",229 min,"Crime, Drama"
72. Raiders of the Lost Ark (1981),"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",115 min,"Action, Adventure"
73. The Shining (1980),"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",146 min,"Drama, Horror"
74. Apocalypse Now (1979),A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,147 min,"Drama, Mystery, War"
75. Alien (1979),"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",117 min,"Horror, Sci-Fi"
76. High and Low (1963),An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,143 min,"Crime, Drama, Mystery"
77. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,95 min,Comedy
78. Witness for the Prosecution (1957),A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,116 min,"Crime, Drama, Mystery"
79. Paths of Glory (1957),"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",88 min,"Drama, War"
80. Rear Window (1954),A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,112 min,"Mystery, Thriller"
81. Sunset Blvd. (1950),A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,110 min,"Drama, Film-Noir"
82. The Great Dictator (1940),Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,125 min,"Comedy, Drama, War"
83. 1917 (2019),"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",119 min,"Drama, War"
84. Uri: The Surgical Strike (2019),"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",138 min,"Action, Drama, War"
85. Tumbbad (2018),A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,104 min,"Drama, Fantasy, Horror"
86. Andhadhun (2018),"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",139 min,"Crime, Thriller"
87. Drishyam (2013),A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,160 min,"Crime, Drama, Thriller"
88. The Hunt (2012),"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",115 min,Drama
89. A Separation (2011),A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,123 min,"Drama, Thriller"
90. Incendies (2010),Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,131 min,"Drama, Mystery, War"
91. 7 Kogustaki Mucize (2019),A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six years old daughter. The prison would be their home. Based on the 2013 Korean movie Miracle in Cell No. 7 (2013).,132 min,Drama
92. My Father and My Son (2005),The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,112 min,"Drama, Family"
93. Toy Story 3 (2010),"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",103 min,"Animation, Adventure, Comedy"
94. Inglourious Basterds (2009),"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",153 min,"Adventure, Drama, War"
95. Eternal Sunshine of the Spotless Mind (2004),"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",108 min,"Drama, Romance, Sci-Fi"
96. Amélie (2001),"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",122 min,"Comedy, Romance"
97. Snatch (2000),"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",102 min,"Comedy, Crime"
98. Requiem for a Dream (2000),The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,102 min,Drama
99. American Beauty (1999),A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,122 min,Drama
100. Good Will Hunting (1997),"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",126 min,"Drama, Romance"
